date,soil_moisture_percent,air_temperature_celsius
2018/7/7 06:49,18.55,21.31
2018/7/7 07:04,18.3,21.64
2018/7/7 07:19,18.05,21.88
2018/7/7 07:34,18.42,22.16
2018/7/7 07:49,17.92,22.35
2018/7/7 08:04,17.8,22.63
2018/7/7 08:19,17.8,23.19
2018/7/7 08:34,17.67,23.6
2018/7/7 08:49,17.67,24.11
2018/7/7 09:04,18.05,24.7
2018/7/7 09:19,17.55,25.79
2018/7/7 09:34,17.42,27.36
2018/7/7 09:49,17.8,29.88
2018/7/7 10:04,17.17,36.09
2018/7/7 10:19,17.18,44.74
2018/7/7 10:34,16.93,45.01
2018/7/7 10:49,16.43,48.14
2018/7/7 11:04,16.05,50.65
2018/7/7 11:19,15.8,51.32
2018/7/7 11:34,15.8,51.5
2018/7/7 11:49,15.67,49.59
2018/7/7 12:04,15.54,41.81
2018/7/7 12:19,15.28,47.69
2018/7/7 12:34,14.77,49.82
2018/7/7 12:49,14.51,38.55
2018/7/7 13:04,14.51,33.33
2018/7/7 13:19,14.38,32.98
2018/7/7 13:34,14.11,32.98
2018/7/7 13:49,13.98,33.25
2018/7/7 14:04,13.72,33.33
2018/7/7 14:19,13.85,33.2
2018/7/7 14:34,14.1,33.38
2018/7/7 14:49,13.97,33.16
2018/7/7 15:04,13.59,33.42
2018/7/7 15:19,13.2,32.31
2018/7/7 15:34,13.07,31.87
2018/7/7 15:49,13.19,31.96
2018/7/7 16:04,13.06,30.94
2018/7/7 16:19,13.06,30.89
2018/7/7 16:34,12.8,30.59
2018/7/7 16:49,12.93,30.45
2018/7/7 17:04,12.54,30.14
2018/7/7 17:19,12.54,29.22
2018/7/7 17:34,12.54,28.07
2018/7/7 17:49,12.41,26.64
2018/7/7 18:04,12.53,25.97
2018/7/7 18:19,12.53,25.52
2018/7/7 18:34,12.4,25.2
2018/7/7 18:49,11.89,25.2
2018/7/7 19:04,12.4,24.75
2018/7/7 19:19,12.27,24.16
2018/7/7 19:34,11.75,23.79
2018/7/7 19:49,11.88,23.7
2018/7/7 20:04,11.75,23.24
2018/7/7 20:19,12.27,22.91
2018/7/7 20:34,12.14,22.72
2018/7/7 20:49,11.88,22.49
2018/7/7 21:04,12.14,22.49
2018/7/7 21:19,11.62,22.58
2018/7/7 21:34,12.01,22.54
2018/7/7 21:49,12.26,22.4
2018/7/7 22:04,12,22.26
2018/7/7 22:19,12.13,22.16
2018/7/7 22:34,11.87,21.93
2018/7/7 22:49,12.13,21.88
2018/7/7 23:04,12,21.64
2018/7/7 23:19,12,21.69
2018/7/7 23:34,11.49,21.5
2018/7/7 23:49,11.87,21.55
2018/7/8 00:04,12,21.41
2018/7/8 00:19,12.13,21.36
2018/7/8 00:34,12.13,21.36
2018/7/8 00:49,12.13,21.26
2018/7/8 01:04,11.74,21.36
2018/7/8 01:19,11.35,21.22
2018/7/8 01:34,11.74,21.26
2018/7/8 01:49,11.87,21.07
2018/7/8 02:04,11.61,21.17
2018/7/8 02:19,11.74,20.98
2018/7/8 02:34,11.74,20.93
2018/7/8 02:49,11.35,20.98
2018/7/8 03:04,11.74,20.88
2018/7/8 03:19,11.22,20.93
2018/7/8 03:34,11.61,20.93
2018/7/8 03:49,11.87,20.79
2018/7/8 04:04,11.35,20.69
2018/7/8 04:19,11.48,20.55
2018/7/8 04:34,11.61,20.55
2018/7/8 04:49,11.48,20.55
2018/7/8 05:04,11.74,20.5
2018/7/8 05:19,11.61,20.55
2018/7/8 05:34,10.96,20.35
2018/7/8 05:49,11.09,20.55
2018/7/8 06:04,11.73,20.64
2018/7/8 06:19,11.09,20.83
2018/7/8 06:34,11.48,21.03
2018/7/8 06:49,11.09,21.26
2018/7/8 07:04,10.83,21.6
2018/7/8 07:19,11.35,22.02
2018/7/8 07:34,11.47,22.49
2018/7/8 07:49,11.22,22.77
2018/7/8 08:04,11.47,23.1
2018/7/8 08:19,11.35,23.47
2018/7/8 08:34,10.57,24.11
2018/7/8 08:49,10.96,24.61
2018/7/8 09:04,10.57,25.29
2018/7/8 09:19,11.22,26.24
2018/7/8 09:34,10.96,27.8
2018/7/8 09:49,10.7,30.14
2018/7/8 10:04,10.96,36
2018/7/8 10:19,10.17,45.12
2018/7/8 10:34,10.42,47.64
2018/7/8 10:49,10.28,52.05
2018/7/8 11:04,10.14,53.94
2018/7/8 11:19,10.26,54.92
2018/7/8 11:34,10,54.26
2018/7/8 11:49,10.14,50.83
2018/7/8 12:04,9.76,43.39
2018/7/8 12:19,9.89,48.43
2018/7/8 12:34,9.37,51.26
2018/7/8 12:49,9.51,38.89
2018/7/8 13:04,9.64,34.73
2018/7/8 13:19,9.65,33.47
2018/7/8 13:34,9.27,33.38
2018/7/8 13:49,9.27,33.87
2018/7/8 14:04,9.14,33.96
2018/7/8 14:19,9.39,33.25
2018/7/8 14:34,9.39,34.05
2018/7/8 14:49,9.13,34.41
2018/7/8 15:04,9.26,34.27
2018/7/8 15:19,8.75,33.87
2018/7/8 15:34,8.75,33.25
2018/7/8 15:49,8.62,32.71
2018/7/8 16:04,9.13,32.36
2018/7/8 16:19,8.87,32.62
2018/7/8 16:34,9,31.73
2018/7/8 16:49,8.49,31.51
2018/7/8 17:04,8.49,31.12
2018/7/8 17:19,8.62,30.01
2018/7/8 17:34,8.37,28.33
2018/7/8 17:49,8.75,27.18
2018/7/8 18:04,8.37,26.42
2018/7/8 18:19,8.88,25.74
2018/7/8 18:34,8.62,25.25
2018/7/8 18:49,8.5,24.89
2018/7/8 19:04,8.62,24.43
2018/7/8 19:19,8.24,24.11
2018/7/8 19:34,8.37,23.6
2018/7/8 19:49,8.37,23.19
2018/7/8 20:04,8.5,22.72
2018/7/8 20:19,8.75,22.63
2018/7/8 20:34,8.37,22.44
2018/7/8 20:49,8.25,22.35
2018/7/8 21:04,8.5,22.4
2018/7/8 21:19,8.37,22.3
2018/7/8 21:34,8.24,21.88
2018/7/8 21:49,8.62,21.79
2018/7/8 22:04,8.24,21.69
2018/7/8 22:19,8.24,21.64
2018/7/8 22:34,8.12,21.45
2018/7/8 22:49,8.12,21.26
2018/7/8 23:04,8.12,21.26
2018/7/8 23:19,8.5,21.26
2018/7/8 23:34,8.62,21.36
2018/7/8 23:49,8.62,21.31
2018/7/9 00:04,7.99,21.45
2018/7/9 00:19,8.24,21.31
2018/7/9 00:34,8.62,20.93
2018/7/9 00:49,8.49,20.83
2018/7/9 01:04,8.24,20.69
2018/7/9 01:19,8.24,20.64
2018/7/9 01:34,8.62,20.35
2018/7/9 01:49,7.86,20.21
2018/7/9 02:04,8.37,20.16
2018/7/9 02:19,7.99,20.16
2018/7/9 02:34,7.99,20.35
2018/7/9 02:49,8.24,20.4
2018/7/9 03:04,8.49,20.59
2018/7/9 03:19,8.11,20.59
2018/7/9 03:34,8.11,20.74
2018/7/9 03:49,8.11,20.79
